Wavelength	Ganancia relativa	error
494.310000	0.857701	0.027664
494.606125	0.859101	0.045949
494.670000	0.860524	0.048761
495.000000	0.862488	0.047394
495.040000	0.864407	0.045593
495.400000	0.866425	0.031108
495.501584	0.867823	0.020916
495.770000	0.868868	0.003312
496.000000	0.869816	0.003588
496.130000	0.870621	0.006053
496.397043	0.871328	0.012429
496.500000	0.871914	0.014558
496.860000	0.872654	0.012624
497.000000	0.873377	0.012292
497.230000	0.874204	0.024850
497.292503	0.875017	0.025191
497.590000	0.875925	0.029862
497.960000	0.877015	0.031414
498.000000	0.877924	0.027276
498.187962	0.878488	0.000925
498.320000	0.879082	0.017698
498.690000	0.879621	0.023571
499.000000	0.880122	0.011369
499.050000	0.880686	0.008014
499.083421	0.881315	0.004943
499.410000	0.882003	0.030889
499.780000	0.882605	0.033561
499.978881	0.882935	0.026653
500.000000	0.883348	0.025537
500.140000	0.883698	0.019004
500.510000	0.884067	0.006760
500.870000	0.884745	0.003135
500.874340	0.885595	0.002274
501.000000	0.885924	0.001624
501.240000	0.886390	0.000835
501.600000	0.886550	0.005355
501.769799	0.886505	0.004684
501.960000	0.886540	0.004017
502.000000	0.886683	0.001992
502.330000	0.886940	0.000211
502.665259	0.887107	0.004547
502.690000	0.887018	0.004760
503.000000	0.886577	0.000371
503.060000	0.886071	0.003989
503.420000	0.885808	0.014447
503.560718	0.885620	0.006308
503.780000	0.885650	0.006781
504.000000	0.885619	0.014435
504.150000	0.885865	0.026241
504.456177	0.886041	0.025263
504.510000	0.886178	0.025199
504.880000	0.886266	0.012937
505.000000	0.886392	0.014335
505.240000	0.886533	0.018562
505.351637	0.886695	0.017694
505.600000	0.886715	0.015453
505.970000	0.886466	0.001026
506.000000	0.886148	0.000688
506.247096	0.885816	0.001100
506.330000	0.885526	0.001887
506.690000	0.885681	0.000796
507.000000	0.886275	0.001642
507.060000	0.886957	0.000137
507.142555	0.887558	0.001067
507.420000	0.888202	0.005625
507.780000	0.888941	0.001647
508.000000	0.889154	0.001395
508.038015	0.889428	0.003533
508.150000	0.889822	0.009394
508.510000	0.889892	0.008128
508.870000	0.889450	0.007463
508.933474	0.889358	0.009793
509.000000	0.889136	0.012351
509.240000	0.888565	0.028096
509.600000	0.888743	0.008209
509.828933	0.889198	0.001354
509.960000	0.889748	0.002866
